,0
cases,1.0
yre2,1.0
y0306h,0.9422866639833827
y18a,0.9072727373908398
y0507,0.9062237951879216
yidsh,0.8603552346245941
ydon,0.8397894712065348
y0304,0.7915817693681219
yinv03,0.7829396302683519
y26_3c_in,0.7788432952788382
ydesh,0.7457104066554051
yah2,0.6989697260113195
y26_2em1,0.6880527938185191
r5,0.6842159277386861
y26_2f,0.6801385327017895
o25d,0.6787765980803501
yinv01,0.6691388266328202
ydonh,0.636678692495455
hh_d_acc,0.6314910428181706
r18,0.6293840647270569
s22b,0.6238975402196559
o13,0.6167147922732118
o25b,0.6105928275457153
e12a,0.6096494680087169
s16,0.5773809053359501
y14c,0.5744489187646433
y0304h,0.5725500718537654
s7,0.5695918830187094
s25b,0.5642110946700856
e12b,0.5632843786673196
y18b,0.5601833446243004
s5,0.5585624459312107
s25c,0.5557247183998157
s30,0.553093578541335
y26_3f_in,0.538969677960249
v39e,0.5364534127960834
e14mm,0.5277825483706066
v37d,0.5245255277150556
e14bd,0.5092666105632985
e9depen,0.4980146617985271
v14,0.49516708010592664
y3f,0.49421813693594024
e9te,0.4870123719322143
depen,0.48550609135379286
y13a,0.4801270096464686
y0403h,0.47491716850488236
y19t,0.47036698563589685
rama4,0.47029687894481853
e6a,0.470220791305513
v37h,0.4700514341618343
hh_d_accesi,0.4668381881664972
s22c,0.46568702974888826
y25c,0.46264691734252983
esc,0.4623839356816647
y2603,0.4578173175574094
y4c,0.4573538040583857
y26_4e_mo,0.4514170630458008
yah1,0.4489344913748048
s25a,0.4431092322554244
r1b_p_cod,0.4399079742909324
y3e,0.4388019692555154
y26_2c,0.4386272069197975
o24a,0.4375824207632099
y26_1a,0.42790380294743496
yorfh,0.42371963766478343
e14bm,0.4232772699840667
hh_d_act,0.42161178407830424
y26_3b_in,0.4212429924502992
o25a_min,0.4146589509656316
y2603ch,0.4082838809474676
educ,0.4069753382994983
r1cp,0.399964072308648
y2603c,0.3958978326561494
v37c,0.39127878078845063
e14md,0.38984532275878736
y26_1d,0.37640792878231866
r24,0.37216769605800976
v12,0.3681787586612234
y0507h,0.3667931241537988
y21a,0.3655780136626295
r10d,0.3655641932152153
y12b,0.3649230350754784
y0306,0.3611671647556604
y26_3g_in,0.3589884789164063
r7b,0.3579836483266768
qautr,0.35251895409913125
y0508,0.3499974014569973
hh_d_prevs,0.3491035248492649
v38a,0.3478881991924926
y26_1j,0.3471764565432163
y0305h,0.34663923537136065
y22c,0.3441953462800522
y22a,0.3440994490929787
y2205h,0.34331654368844533
r23,0.3430481805439452
e14pbm,0.34032926739936314
v37e,0.3391972898598357
ymesh,0.3373222432140775
dautr,0.32475605449910755
dau,0.324288894129097
h4a,0.32252510380178395
y0501,0.3122866413167622
y22b,0.31185187958650074
e10,0.31000143637691113
s26b_c1,0.30960740888492283
qaut,0.30750377248120886
y5g,0.30514584123357336
y0101c,0.30512978157091425
s19b,0.3049853101428504
ch4,0.3030647492335811
s12,0.29989121577557737
s26a,0.298890630403093
o7r2,0.29538443140160037
y0101,0.29446320969844764
v37g,0.2931969816290236
v10,0.2877372755020475
y13c,0.28361513270304606
yorf,0.27980158650891107
e14mu,0.27674293099400726
r6,0.27612362063484375
y2507h,0.27603836969290113
s26b_c2,0.27368694450916076
y1,0.2723054468828747
y0506,0.2653808187133051
s24a,0.26361886335337914
yfa2h,0.26316325075950714
e8,0.26289652135408415
y26_2h,0.26278837402601346
e14pbt,0.26277677612548256
y0508h,0.26159984528443
y20c,0.26049617828960653
y2301,0.2602277389828063
v27b,0.25845454441382376
y2401,0.2574215893242355
v15,0.2552867875104417
e4,0.25463607790377185
yamah,0.25276557922200216
y26_1e,0.2495884321653021
ymes,0.24832171941802253
v37f,0.2478482593431202
s32d,0.24455537691983742
yids,0.23841492227967612
y12a,0.2383114853273745
y22d,0.23743127142457227
y5h,0.23564636036972886
